Order ID;Restaurant Name;Location;Order Time;Delivery Time;Delivery Duration (min);Pizza Size;Pizza Type;Toppings Count;Distance (km);Traffic Level;Payment Method;Is Peak Hour;Is Weekend;Delivery Efficiency (min/km);Topping Density;Order Month;Payment Category;Estimated Duration (min);Delay (min);Is Delayed;Pizza Complexity;Traffic Impact;Order Hour;Restaurant Avg Time;Price ($)
ORD011;Domino's;San Francisco, CA;11/01/2024 17:30;11/01/2024 17:50;20;Large;Veg;4;4;Low;UPI;FALSO;FALSO;5;1;January;Online;9,6;10,4;FALSO;12;1;17;30,25943396;13,7
ORD586;Domino's;San Francisco, CA;22/05/2025 20:15;22/05/2025 21:00;45;Large;Veg;4;9;High;Cash;VERDADERO;FALSO;5;0,444444444;May;Offline;21,6;23,4;VERDADERO;12;3;20;30,25943396;13,7
ORD616;Domino's;San Francisco, CA;21/06/2025 20:15;21/06/2025 21:00;45;Large;Veg;4;9;High;Cash;VERDADERO;VERDADERO;5;0,444444444;June;Offline;21,6;23,4;VERDADERO;12;3;20;30,25943396;13,7
ORD204;Pizza Hut;Houston, TX;19/07/2024 19:45;19/07/2024 20:10;25;XL;Cheese Burst;5;6;High;Wallet;VERDADERO;FALSO;4,166666667;0,833333333;July;Online;14,4;10,6;FALSO;20;3;19;29,94845361;17,5
ORD224;Pizza Hut;Houston, TX;08/08/2024 19:45;08/08/2024 20:10;25;XL;Cheese Burst;5;6;High;Wallet;VERDADERO;FALSO;4,166666667;0,833333333;August;Online;14,4;10,6;FALSO;20;3;19;29,94845361;17,5
ORD598;Pizza Hut;Las Vegas, NV;03/06/2025 19:15;03/06/2025 19:45;30;Large;Non-Veg;4;6;Medium;Wallet;VERDADERO;FALSO;5;0,666666667;June;Online;14,4;15,6;FALSO;12;2;19;29,94845361;14,7
ORD504;Papa John's;Bakersfield, CA;01/03/2025 20:00;01/03/2025 20:35;35;Medium;Gluten-Free;3;5,5;Medium;Wallet;VERDADERO;VERDADERO;6,363636364;0,545454545;March;Online;13,2;21,8;VERDADERO;6;2;20;28,18627451;11,1
ORD337;Domino's;Miami, FL;25/09/2024 20:00;25/09/2024 20:20;20;Medium;Veg;2;3;Low;Card;VERDADERO;FALSO;6,666666667;0,666666667;September;Online;7,2;12,8;FALSO;4;1;20;30,25943396;9,9
ORD363;Domino's;Miami, FL;21/10/2024 20:00;21/10/2024 20:20;20;Medium;Veg;2;3;Low;Card;VERDADERO;FALSO;6,666666667;0,666666667;October;Online;7,2;12,8;FALSO;4;1;20;30,25943396;9,9
ORD389;Domino's;Miami, FL;16/11/2024 20:00;16/11/2024 20:20;20;Medium;Veg;2;3;Low;Card;VERDADERO;VERDADERO;6,666666667;0,666666667;November;Online;7,2;12,8;FALSO;4;1;20;30,25943396;9,9
ORD527;Papa John's;Akron, OH;24/03/2025 18:00;24/03/2025 18:20;20;Medium;Veg;2;3;Low;Card;VERDADERO;FALSO;6,666666667;0,666666667;March;Online;7,2;12,8;FALSO;4;1;18;28,18627451;9,9
ORD545;Papa John's;Denver, CO;11/04/2025 20:15;11/04/2025 20:55;40;Medium;Sicilian;3;6,5;High;Wallet;VERDADERO;FALSO;6,153846154;0,461538462;April;Online;15,6;24,4;VERDADERO;6;3;20;28,18627451;11,1
ORD564;Domino's;Baltimore, MD;30/04/2025 19:00;30/04/2025 19:50;50;Large;Non-Veg;4;10;High;Card;VERDADERO;FALSO;5;0,4;April;Online;24;26;VERDADERO;12;3;19;30,25943396;14,7
ORD544;Domino's;Austin, TX;10/04/2025 19:00;10/04/2025 19:45;45;Large;Thai Chicken;4;7;Medium;Card;VERDADERO;FALSO;6,428571429;0,571428571;April;Online;16,8;28,2;VERDADERO;12;2;19;30,25943396;14,7
ORD257;Domino's;San Francisco, CA;10/09/2024 18:00;10/09/2024 18:25;25;Large;Veg;3;5;High;Cash;VERDADERO;FALSO;5;0,6;September;Offline;12;13;FALSO;9;3;18;30,25943396;12,9
ORD496;Little Caesars;Miami, FL;21/02/2025 19:45;21/02/2025 20:25;40;XL;Stuffed Crust;5;7,5;High;Card;VERDADERO;FALSO;5,333333333;0,666666667;February;Online;18;22;VERDADERO;20;3;19;28,84422111;18,5
ORD030;Marco's Pizza;Miami, FL;30/01/2024 13:15;30/01/2024 13:35;20;Medium;Non-Veg;3;3;Medium;Card;FALSO;FALSO;6,666666667;1;January;Online;7,2;12,8;FALSO;6;2;13;30,28645833;11,6
ORD055;Marco's Pizza;Miami, FL;25/02/2024 13:00;25/02/2024 13:20;20;Medium;Non-Veg;3;3;High;Wallet;FALSO;VERDADERO;6,666666667;1;February;Online;7,2;12,8;FALSO;6;3;13;30,28645833;11,6
ORD075;Marco's Pizza;Miami, FL;16/03/2024 13:00;16/03/2024 13:20;20;Medium;Non-Veg;3;3;High;UPI;FALSO;VERDADERO;6,666666667;1;March;Online;7,2;12,8;FALSO;6;3;13;30,28645833;11,6
ORD095;Marco's Pizza;Miami, FL;05/04/2024 13:00;05/04/2024 13:20;20;Medium;Non-Veg;3;3;High;UPI;FALSO;FALSO;6,666666667;1;April;Online;7,2;12,8;FALSO;6;3;13;30,28645833;11,6
ORD105;Marco's Pizza;Miami, FL;15/04/2024 13:00;15/04/2024 13:20;20;Medium;Non-Veg;3;3;High;UPI;FALSO;FALSO;6,666666667;1;April;Online;7,2;12,8;FALSO;6;3;13;30,28645833;11,6
ORD125;Marco's Pizza;Miami, FL;05/05/2024 13:00;05/05/2024 13:20;20;Medium;Non-Veg;3;3;High;UPI;FALSO;VERDADERO;6,666666667;1;May;Online;7,2;12,8;FALSO;6;3;13;30,28645833;11,6
ORD185;Marco's Pizza;Miami, FL;30/06/2024 13:00;30/06/2024 13:20;20;Medium;Non-Veg;3;3,5;Low;Card;FALSO;VERDADERO;5,714285714;0,857142857;June;Online;8,4;11,6;FALSO;6;1;13;30,28645833;11,6
ORD144;Little Caesars;San Francisco, CA;19/08/2024 18:00;19/08/2024 18:30;30;Medium;Non-Veg;3;4;Medium;UPI;VERDADERO;FALSO;7,5;0,75;August;Online;9,6;20,4;FALSO;6;2;18;28,84422111;11,6
ORD325;Little Caesars;San Francisco, CA;13/09/2024 18:00;13/09/2024 18:30;30;Medium;Non-Veg;3;4;Medium;Cash;VERDADERO;FALSO;7,5;0,75;September;Offline;9,6;20,4;FALSO;6;2;18;28,84422111;11,6
