Order ID;Restaurant Name;Location;Order Time;Delivery Time;Delivery Duration (min);Pizza Size;Pizza Type;Toppings Count;Distance (km);Traffic Level;Payment Method;Is Peak Hour;Is Weekend;Delivery Efficiency (min/km);Topping Density;Order Month;Payment Category;Estimated Duration (min);Delay (min);Is Delayed;Pizza Complexity;Traffic Impact;Order Hour;Restaurant Avg Time;Price ($);City;State
ORD011;Domino's;San Francisco, CA;11/01/2024 17:30;11/01/2024 17:50;20;Large;Veg;4;4.0;Low;UPI;FALSO;FALSO;5.0;1.0;January;Online;9.6;10.4;FALSO;12;1;17;30.25943396;13.7;San Francisco;CA
ORD586;Domino's;San Francisco, CA;22/05/2025 20:15;22/05/2025 21:00;45;Large;Veg;4;9.0;High;Cash;VERDADERO;FALSO;5.0;0.444444444;May;Offline;21.6;23.4;VERDADERO;12;3;20;30.25943396;13.7;San Francisco;CA
ORD616;Domino's;San Francisco, CA;21/06/2025 20:15;21/06/2025 21:00;45;Large;Veg;4;9.0;High;Cash;VERDADERO;VERDADERO;5.0;0.444444444;June;Offline;21.6;23.4;VERDADERO;12;3;20;30.25943396;13.7;San Francisco;CA
ORD204;Pizza Hut;Houston, TX;19/07/2024 19:45;19/07/2024 20:10;25;XL;Cheese Burst;5;6.0;High;Wallet;VERDADERO;FALSO;4.166666667;0.833333333;July;Online;14.4;10.6;FALSO;20;3;19;29.94845361;17.5;Houston;TX
ORD224;Pizza Hut;Houston, TX;08/08/2024 19:45;08/08/2024 20:10;25;XL;Cheese Burst;5;6.0;High;Wallet;VERDADERO;FALSO;4.166666667;0.833333333;August;Online;14.4;10.6;FALSO;20;3;19;29.94845361;17.5;Houston;TX
ORD598;Pizza Hut;Las Vegas, NV;03/06/2025 19:15;03/06/2025 19:45;30;Large;Non-Veg;4;6.0;Medium;Wallet;VERDADERO;FALSO;5.0;0.666666667;June;Online;14.4;15.6;FALSO;12;2;19;29.94845361;14.7;Las Vegas;NV
ORD504;Papa John's;Bakersfield, CA;01/03/2025 20:00;01/03/2025 20:35;35;Medium;Gluten-Free;3;5.5;Medium;Wallet;VERDADERO;VERDADERO;6.363636364;0.545454545;March;Online;13.2;21.8;VERDADERO;6;2;20;28.18627451;11.1;Bakersfield;CA
ORD337;Domino's;Miami, FL;25/09/2024 20:00;25/09/2024 20:20;20;Medium;Veg;2;3.0;Low;Card;VERDADERO;FALSO;6.666666667;0.666666667;September;Online;7.2;12.8;FALSO;4;1;20;30.25943396;9.9;Miami;FL
ORD363;Domino's;Miami, FL;21/10/2024 20:00;21/10/2024 20:20;20;Medium;Veg;2;3.0;Low;Card;VERDADERO;FALSO;6.666666667;0.666666667;October;Online;7.2;12.8;FALSO;4;1;20;30.25943396;9.9;Miami;FL
ORD389;Domino's;Miami, FL;16/11/2024 20:00;16/11/2024 20:20;20;Medium;Veg;2;3.0;Low;Card;VERDADERO;VERDADERO;6.666666667;0.666666667;November;Online;7.2;12.8;FALSO;4;1;20;30.25943396;9.9;Miami;FL
ORD527;Papa John's;Akron, OH;24/03/2025 18:00;24/03/2025 18:20;20;Medium;Veg;2;3.0;Low;Card;VERDADERO;FALSO;6.666666667;0.666666667;March;Online;7.2;12.8;FALSO;4;1;18;28.18627451;9.9;Akron;OH
ORD545;Papa John's;Denver, CO;11/04/2025 20:15;11/04/2025 20:55;40;Medium;Sicilian;3;6.5;High;Wallet;VERDADERO;FALSO;6.153846154;0.461538462;April;Online;15.6;24.4;VERDADERO;6;3;20;28.18627451;11.1;Denver;CO
ORD564;Domino's;Baltimore, MD;30/04/2025 19:00;30/04/2025 19:50;50;Large;Non-Veg;4;10.0;High;Card;VERDADERO;FALSO;5.0;0.4;April;Online;24.0;26.0;VERDADERO;12;3;19;30.25943396;14.7;Baltimore;MD
ORD544;Domino's;Austin, TX;10/04/2025 19:00;10/04/2025 19:45;45;Large;Thai Chicken;4;7.0;Medium;Card;VERDADERO;FALSO;6.428571429;0.571428571;April;Online;16.8;28.2;VERDADERO;12;2;19;30.25943396;14.7;Austin;TX
ORD257;Domino's;San Francisco, CA;10/09/2024 18:00;10/09/2024 18:25;25;Large;Veg;3;5.0;High;Cash;VERDADERO;FALSO;5.0;0.6;September;Offline;12.0;13.0;FALSO;9;3;18;30.25943396;12.9;San Francisco;CA
ORD496;Little Caesars;Miami, FL;21/02/2025 19:45;21/02/2025 20:25;40;XL;Stuffed Crust;5;7.5;High;Card;VERDADERO;FALSO;5.333333333;0.666666667;February;Online;18.0;22.0;VERDADERO;20;3;19;28.84422111;18.5;Miami;FL
