Order ID;Restaurant Name;Location;Order Time;Delivery Time;Delivery Duration (min);Pizza Size;Pizza Type;Toppings Count;Distance (km);Traffic Level;Payment Method;Is Peak Hour;Is Weekend;Delivery Efficiency (min/km);Topping Density;Order Month;Payment Category;Estimated Duration (min);Delay (min);Is Delayed;Pizza Complexity;Traffic Impact;Order Hour;Restaurant Avg Time;Price ($);City;State;Delivery Efficiency (km/min)_New;Is Peak Hour_New;Is Weekend_New;Is Delayed_New;Traffic Level_New;Pizza Size_New
ORD011;Domino's;San Francisco, CA;11/01/2024 17:30;11/01/2024 17:50;20;Large;Veg;4;4.0;Low;UPI;False;False;5.0;1.0;January;Online;9.6;10.4;False;12;1;17;30.25943396;13.7;San Francisco;CA;0.2;0;0;0;1;3
ORD586;Domino's;San Francisco, CA;22/05/2025 20:15;22/05/2025 21:00;45;Large;Veg;4;9.0;High;Cash;True;False;5.0;0.444444444;May;Offline;21.6;23.4;True;12;3;20;30.25943396;13.7;San Francisco;CA;0.2;1;0;1;3;3
ORD616;Domino's;San Francisco, CA;21/06/2025 20:15;21/06/2025 21:00;45;Large;Veg;4;9.0;High;Cash;True;True;5.0;0.444444444;June;Offline;21.6;23.4;True;12;3;20;30.25943396;13.7;San Francisco;CA;0.2;1;1;1;3;3
ORD204;Pizza Hut;Houston, TX;19/07/2024 19:45;19/07/2024 20:10;25;XL;Cheese Burst;5;6.0;High;Wallet;True;False;4.166666667;0.833333333;July;Online;14.4;10.6;False;20;3;19;29.94845361;17.5;Houston;TX;0.2399999999808;1;0;0;3;4
ORD224;Pizza Hut;Houston, TX;08/08/2024 19:45;08/08/2024 20:10;25;XL;Cheese Burst;5;6.0;High;Wallet;True;False;4.166666667;0.833333333;August;Online;14.4;10.6;False;20;3;19;29.94845361;17.5;Houston;TX;0.2399999999808;1;0;0;3;4
ORD598;Pizza Hut;Las Vegas, NV;03/06/2025 19:15;03/06/2025 19:45;30;Large;Non-Veg;4;6.0;Medium;Wallet;True;False;5.0;0.666666667;June;Online;14.4;15.6;False;12;2;19;29.94845361;14.7;Las Vegas;NV;0.2;1;0;0;2;3
ORD504;Papa John's;Bakersfield, CA;01/03/2025 20:00;01/03/2025 20:35;35;Medium;Gluten-Free;3;5.5;Medium;Wallet;True;True;6.363636364;0.545454545;March;Online;13.2;21.8;True;6;2;20;28.18627451;11.1;Bakersfield;CA;0.15714285713387754;1;1;1;2;2
ORD337;Domino's;Miami, FL;25/09/2024 20:00;25/09/2024 20:20;20;Medium;Veg;2;3.0;Low;Card;True;False;6.666666667;0.666666667;September;Online;7.2;12.8;False;4;1;20;30.25943396;9.9;Miami;FL;0.1499999999925;1;0;0;1;2
ORD363;Domino's;Miami, FL;21/10/2024 20:00;21/10/2024 20:20;20;Medium;Veg;2;3.0;Low;Card;True;False;6.666666667;0.666666667;October;Online;7.2;12.8;False;4;1;20;30.25943396;9.9;Miami;FL;0.1499999999925;1;0;0;1;2
ORD389;Domino's;Miami, FL;16/11/2024 20:00;16/11/2024 20:20;20;Medium;Veg;2;3.0;Low;Card;True;True;6.666666667;0.666666667;November;Online;7.2;12.8;False;4;1;20;30.25943396;9.9;Miami;FL;0.1499999999925;1;1;0;1;2
ORD527;Papa John's;Akron, OH;24/03/2025 18:00;24/03/2025 18:20;20;Medium;Veg;2;3.0;Low;Card;True;False;6.666666667;0.666666667;March;Online;7.2;12.8;False;4;1;18;28.18627451;9.9;Akron;OH;0.1499999999925;1;0;0;1;2
ORD545;Papa John's;Denver, CO;11/04/2025 20:15;11/04/2025 20:55;40;Medium;Sicilian;3;6.5;High;Wallet;True;False;6.153846154;0.461538462;April;Online;15.6;24.4;True;6;3;20;28.18627451;11.1;Denver;CO;0.1624999999959375;1;0;1;3;2
ORD564;Domino's;Baltimore, MD;30/04/2025 19:00;30/04/2025 19:50;50;Large;Non-Veg;4;10.0;High;Card;True;False;5.0;0.4;April;Online;24.0;26.0;True;12;3;19;30.25943396;14.7;Baltimore;MD;0.2;1;0;1;3;3
ORD544;Domino's;Austin, TX;10/04/2025 19:00;10/04/2025 19:45;45;Large;Thai Chicken;4;7.0;Medium;Card;True;False;6.428571429;0.571428571;April;Online;16.8;28.2;True;12;2;19;30.25943396;14.7;Austin;TX;0.1555555555451852;1;0;1;2;3
ORD257;Domino's;San Francisco, CA;10/09/2024 18:00;10/09/2024 18:25;25;Large;Veg;3;5.0;High;Cash;True;False;5.0;0.6;September;Offline;12.0;13.0;False;9;3;18;30.25943396;12.9;San Francisco;CA;0.2;1;0;0;3;3
ORD496;Little Caesars;Miami, FL;21/02/2025 19:45;21/02/2025 20:25;40;XL;Stuffed Crust;5;7.5;High;Card;True;False;5.333333333;0.666666667;February;Online;18.0;22.0;True;20;3;19;28.84422111;18.5;Miami;FL;0.18750000001171876;1;0;1;3;4
ORD030;Marco's Pizza;Miami, FL;30/01/2024 13:15;30/01/2024 13:35;20;Medium;Non-Veg;3;3.0;Medium;Card;False;False;6.666666667;1.0;January;Online;7.2;12.8;False;6;2;13;30.28645833;11.6;Miami;FL;0.1499999999925;0;0;0;2;2
ORD055;Marco's Pizza;Miami, FL;25/02/2024 13:00;25/02/2024 13:20;20;Medium;Non-Veg;3;3.0;High;Wallet;False;True;6.666666667;1.0;February;Online;7.2;12.8;False;6;3;13;30.28645833;11.6;Miami;FL;0.1499999999925;0;1;0;3;2
ORD075;Marco's Pizza;Miami, FL;16/03/2024 13:00;16/03/2024 13:20;20;Medium;Non-Veg;3;3.0;High;UPI;False;True;6.666666667;1.0;March;Online;7.2;12.8;False;6;3;13;30.28645833;11.6;Miami;FL;0.1499999999925;0;1;0;3;2
ORD095;Marco's Pizza;Miami, FL;05/04/2024 13:00;05/04/2024 13:20;20;Medium;Non-Veg;3;3.0;High;UPI;False;False;6.666666667;1.0;April;Online;7.2;12.8;False;6;3;13;30.28645833;11.6;Miami;FL;0.1499999999925;0;0;0;3;2
ORD105;Marco's Pizza;Miami, FL;15/04/2024 13:00;15/04/2024 13:20;20;Medium;Non-Veg;3;3.0;High;UPI;False;False;6.666666667;1.0;April;Online;7.2;12.8;False;6;3;13;30.28645833;11.6;Miami;FL;0.1499999999925;0;0;0;3;2
ORD125;Marco's Pizza;Miami, FL;05/05/2024 13:00;05/05/2024 13:20;20;Medium;Non-Veg;3;3.0;High;UPI;False;True;6.666666667;1.0;May;Online;7.2;12.8;False;6;3;13;30.28645833;11.6;Miami;FL;0.1499999999925;0;1;0;3;2
ORD185;Marco's Pizza;Miami, FL;30/06/2024 13:00;30/06/2024 13:20;20;Medium;Non-Veg;3;3.5;Low;Card;False;True;5.714285714;0.857142857;June;Online;8.4;11.6;False;6;1;13;30.28645833;11.6;Miami;FL;0.17500000000875002;0;1;0;1;2
ORD144;Little Caesars;San Francisco, CA;19/08/2024 18:00;19/08/2024 18:30;30;Medium;Non-Veg;3;4.0;Medium;UPI;True;False;7.5;0.75;August;Online;9.6;20.4;False;6;2;18;28.84422111;11.6;San Francisco;CA;0.13333333333333333;1;0;0;2;2
ORD325;Little Caesars;San Francisco, CA;13/09/2024 18:00;13/09/2024 18:30;30;Medium;Non-Veg;3;4.0;Medium;Cash;True;False;7.5;0.75;September;Offline;9.6;20.4;False;6;2;18;28.84422111;11.6;San Francisco;CA;0.13333333333333333;1;0;0;2;2
ORD355;Little Caesars;San Francisco, CA;13/10/2024 18:00;13/10/2024 18:30;30;Medium;Non-Veg;3;4.0;Medium;Cash;True;True;7.5;0.75;October;Offline;9.6;20.4;False;6;2;18;28.84422111;11.6;San Francisco;CA;0.13333333333333333;1;1;0;2;2
ORD381;Little Caesars;San Francisco, CA;08/11/2024 18:00;08/11/2024 18:30;30;Medium;Non-Veg;3;4.0;Medium;UPI;True;False;7.5;0.75;November;Online;9.6;20.4;False;6;2;18;28.84422111;11.6;San Francisco;CA;0.13333333333333333;1;0;0;2;2
